('82-594', '1947:343'),
('82-594', '1947:38'),
('82-594', '1947:498'),
('82-594', '1947:519'),
('82-594', '1948:166'),
('82-594', '1948:169'),
('82-594', '1948:36'),
('82-594', '1948:471'),
('82-594', '1948:625'),
('82-594', '1948:647'),
('82-594', '1948:758'),
('82-594', '1948:826'),
('82-594', '1948:832'),
('82-594', '1949:11'),
('82-594', '1949:146'),
('82-594', '1949:218'),
('82-594', '1949:226'),
('82-594', '1949:288'),
('82-594', '1949:338'),
('82-594', '1949:585'),
('82-594', '1949:626'),
('82-594', '1949:681'),
('82-594', '1949:772'),
('82-594', '1949:782'),
('82-594', '1949:792'),
('82-594', '1950:1024'),
('82-594', '1950:152'),
('82-594', '1950:171'),
('82-594', '1950:220'),
('82-594', '1950:383'),
('82-594', '1950:54'),
('82-594', '1950:932'),
('82-594', '1950:945'),
('82-594', '1950:948'),
('82-594', '1950:967'),
('82-6', '1924:190'),
('82-60', '1924:190'),
('82-60', '1948:647'),
('82-61', '1949:185'),
('82-61', '1949:782'),
('82-63', '1941:553'),
('82-63', '1949:782'),
('82-67', '1947:512'),
('82-69', '1947:163'),
('82-69', '1950:932'),
('82-70', '1941:553'),
('82-70', '1950:1052'),
('82-70', '1950:354'),
('82-70', '1950:896'),
('82-70', '1950:932'),
('82-71', '1898:541'),
('82-72', '1939:2'),
('82-73', '1939:2'),
('82-76', '1939:2'),
('82-78', '1935:531'),
('82-78', '1938:676'),
('82-78', '1939:2'),
('82-78', '1949:792'),
('82-8', '1947:163'),
('82-82', '1950:994'),
('82-88', '1949:782'),
('82-89', '1938:322'),
('82-9', '1887:104'),
('82-9', '1933:199'),
('82-9', '1936:858'),
('82-9', '1939:2'),
('82-9', '1942:247'),
('82-9', '1946:324'),
('82-9', '1948:333'),
('82-96', '1926:347'),
('82-96', '1937:296'),
('82-96', '1938:676'),
('82-96', '1941:593'),
('82-96', '1945:106'),
('82-96', '1946:113'),
('82-96', '1947:120'),
('82-96', '1947:163'),
('82-96', '1949:782'),
('82-96', '1949:792'),
('82-96', '1950:932'),
('83-10', '1952:598'),
('83-100', '1952:570'),
('83-101', '1934:847'),
('83-101', '1944:268'),
('83-102', '1936:141'),
('83-102', '1946:957'),
('83-102', '1949:782'),
('83-102', '1951:631'),
('83-102', '1952:578'),
('83-105', '1946:251'),
('83-105', '1951:121'),
('83-109', '1949:782'),
('83-11', '1946:251'),
('83-11', '1952:575'),
('83-11', '1952:578'),
('83-11', '1952:598'),
('83-11', '1952:630'),
('83-11', '1952:651'),
('83-11', '1952:758'),
('83-11', '1952:875'),
('83-110', '1952:477'),
('83-117', '1938:30'),
('83-117', '1939:190'),
('83-117', '1949:792'),
('83-118', '1948:169'),
('83-118', '1949:626'),
('83-118', '1950:220'),
('83-118', '1951:479'),
('83-118', '1952:449'),
('83-118', '1952:758'),
('83-119', '1934:672'),
('83-12', '1952:570'),
('83-121', '1948:625'),
('83-121', '1949:782'),
('83-125', '1939:2'),
('83-129', '1942:166'),
('83-13', '1949:226'),
('83-137', '1946:724'),
('83-137', '1952:758'),
('83-140', '1948:830'),
('83-146', '1930:349'),
('83-147', '1924:320'),
('83-147', '1940:757'),
('83-148', '1933:32'),
('83-148', '1940:720'),
('83-148', '1940:757'),
('83-148', '1944:268'),
('83-148', '1946:724'),
('83-148', '1948:625'),
('83-148', '1949:782'),
('83-148', '1951:39'),
('83-15', '1947:343'),
('83-150', '1944:373'),
('83-150', '1946:958'),
('83-152', '1945:557'),
('83-152', '1948:655'),
('83-155', '1905:1501'),
('83-155', '1912:308'),
('83-155', '1914:79'),
('83-155', '1915:144'),
('83-155', '1916:313'),
('83-155', '1921:119'),
('83-155', '1922:369'),
('83-155', '1923:217'),
('83-155', '1923:288'),
('83-155', '1928:687'),
('83-155', '1933:25'),
('83-155', '1935:338'),
('83-155', '1935:85'),
('83-155', '1937:517'),
('83-155', '1938:30'),
('83-155', '1939:190'),
('83-155', '1939:615'),
('83-155', '1942:31'),
